id,name,length,capex,transformer_capex,fom,vom,lifetime,discount_rate,node_start,node_end,loss_factor,initial_capacity,max_build,min_build,unit_type,scenarios,near_optimum,range_group
148,POL-DNK,1.0,942.0,0.0,14.13,0.0,60.0,0.05,POL,DNK,0.0,0.6,24.0,0.0,dc_subsea_transmission,all,False,
149,POL-SWE,1.0,942.0,0.0,14.13,0.0,60.0,0.05,POL,SWE,0.0,0.6,24.0,0.0,dc_subsea_transmission,all,False,
150,PRT-ESP,1.0,175.0,0.0,2.625,0.0,60.0,0.05,PRT,ESP,0.009665981416031588,3.55,35.5,0.0,ac_ohl_transmission,all,False,
151,ROU-BGR,1.0,175.0,0.0,2.625,0.0,60.0,0.05,ROU,BGR,0.009665981416031588,1.7,17.0,0.0,ac_ohl_transmission,all,False,
152,ROU-HUN,1.0,175.0,0.0,2.625,0.0,60.0,0.05,ROU,HUN,0.009665981416031588,1.4,14.0,0.0,ac_ohl_transmission,all,False,
153,ROU-SRB,1.0,175.0,0.0,2.625,0.0,60.0,0.05,ROU,SRB,0.009665981416031588,2.5,25.0,0.0,ac_ohl_transmission,all,False,
154,SRB-MNE,1.0,516.0,0.0,7.74,0.0,60.0,0.05,SRB,MNE,0.007236986168440374,2.9,29.0,0.0,ac_ohl_mountain_transmission,all,False,
155,SRB-ALB,1.0,175.0,0.0,2.625,0.0,60.0,0.05,SRB,ALB,0.009665981416031588,0.9,36.0,0.0,ac_ohl_transmission,all,False,
156,SRB-BGR,1.0,175.0,0.0,2.625,0.0,60.0,0.05,SRB,BGR,0.009665981416031588,0.9,36.0,0.0,ac_ohl_transmission,all,False,
157,SRB-BIH,1.0,175.0,0.0,2.625,0.0,60.0,0.05,SRB,BIH,0.009665981416031588,3.1,31.0,0.0,ac_ohl_transmission,all,False,
158,SRB-HRV,1.0,175.0,0.0,2.625,0.0,60.0,0.05,SRB,HRV,0.009665981416031588,0.7,28.0,0.0,ac_ohl_transmission,all,False,
159,SRB-HUN,1.0,175.0,0.0,2.625,0.0,60.0,0.05,SRB,HUN,0.009665981416031588,0.7,28.0,0.0,ac_ohl_transmission,all,False,
160,SRB-MKD,1.0,175.0,0.0,2.625,0.0,60.0,0.05,SRB,MKD,0.009665981416031588,1.9,19.0,0.0,ac_ohl_transmission,all,False,
161,SRB-ROU,1.0,175.0,0.0,2.625,0.0,60.0,0.05,SRB,ROU,0.009665981416031588,2.5,25.0,0.0,ac_ohl_transmission,all,False,
162,SVK-CZE,1.0,175.0,0.0,2.625,0.0,60.0,0.05,SVK,CZE,0.009665981416031588,2.7,27.0,0.0,ac_ohl_transmission,all,False,
